title,area,Diện tích đất:,Hướng cửa chính:,Giấy tờ pháp lý:,Đặc điểm nhà/đất:,Loại hình đất:,Chiều ngang:,Chiều dài:,Số phòng ngủ:,Số phòng vệ sinh:,Loại hình nhà ở:,Tình trạng nội thất:,Diện tích sử dụng:,Tình trạng bất động sản:,Diện tích:,Loại hình căn hộ:,Tổng số tầng:,Tầng số:,Hướng ban công:,Đặc điểm căn hộ:,Loại hình văn phòng:,street,ward,district,city,Phân khu/Lô/Block/Tháp,has_floor_number,Price (trieu VND)
"Lô tái định cư Sonadezi Suối Nghệ, Châu Đức, BRVT",100.0,100.0,Bắc,Đã có sổ,Mặt tiền,Đất thổ cư,5.0,20.0,4.0,3.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,16.0,Chưa bàn giao,60.0,Chung cư,1.0,12.0,Đông,Căn góc,Mặt bằng kinh doanh,n19,xã suối nghệ,huyện châu đức,bà rịa - vũng tàu,Không thuộc project/block,1,730.0
"Căn hộ dịch vụ, mini Quận Tân Phú 36m² 1PN",36.0,100.0,Bắc,Giấy tờ khác,Mặt tiền,Đất thổ cư,5.0,20.0,1.0,1.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,16.0,Chưa bàn giao,36.0,"Căn hộ dịch vụ, mini",1.0,16.0,Đông,Căn góc,Mặt bằng kinh doanh,đường lũy bán bích,phường hòa thạnh,quận tân phú,tp hồ chí minh,Không thuộc project/block,1,1300.0
Ngộp dịch Covid. Tôi cần bán gấp để trả nợ,100.0,100.0,Đông,Giấy tờ khác,Mặt tiền,Đất nền dự án,5.0,20.0,1.0,1.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,16.0,Chưa bàn giao,36.0,"Căn hộ dịch vụ, mini",1.0,16.0,Đông,Căn góc,Mặt bằng kinh doanh,đường tôn đức thắng,xã phước đồng,thành phố nha trang,khánh hòa,Không thuộc project/block,1,1600.0
Tài Sản 74 Huỳnh Tấn Phát Quận 7 Giữ Tiền Cực Tốt,122.0,122.0,Bắc,Giấy tờ khác,Mặt tiền,Đất nền dự án,4.12,32.0,10.0,6.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,1278.0,Chưa bàn giao,36.0,"Căn hộ dịch vụ, mini",1.0,16.0,Đông,Căn góc,Mặt bằng kinh doanh,đường huỳnh tấn phát,phường tân thuận tây,quận 7,tp hồ chí minh,Không thuộc project/block,1,25500.0
Chung cư cao cấp TPBiên Hòa 84m² 3PN full nội thất,84.0,122.0,Bắc,Đã có sổ,Mặt tiền,Đất nền dự án,4.12,32.0,3.0,2.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,1278.0,Chưa bàn giao,84.0,Chung cư,1.0,16.0,Đông,Căn góc,Mặt bằng kinh doanh,xa lộ hà nội,phường hố nai,thành phố biên hòa,đồng nai,Không thuộc project/block,1,2500.0
"Bán nhà đất Chính chủ,gần TL7 ,An Nhơn Tây Củ Chi",,122.0,Tây Bắc,Đã có sổ,Mặt tiền,Đất nền dự án,4.12,32.0,3.0,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,1278.0,Đã bàn giao,1019.0,Penthouse,1.0,16.0,Đông,Căn góc,Mặt bằng kinh doanh,28b,xã an nhơn tây,huyện củ chi,tp hồ chí minh,Không thuộc project/block,1,5000.0
"Bán đất thổ cư 5x45m đường 94 Nguyễn Văn Linh, HT",218.0,218.0,Tây Bắc,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,45.0,3.0,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,1278.0,Đã bàn giao,1019.0,Penthouse,1.0,16.0,Đông,Căn góc,Mặt bằng kinh doanh,đường 94 nguyễn văn linh,xã trường đông,huyện hòa thành,tây ninh,Không thuộc project/block,1,425.0
300m2 trọ 16 phòng mặt tiền chợ thông KCN Nhật-Hàn,300.0,300.0,Đông Bắc,Đã có sổ,Nở hậu,Đất thổ cư,10.0,30.0,10.0,6.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,300.0,Đã bàn giao,70.0,"Căn hộ dịch vụ, mini",1.0,16.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường quyết thắng,phường tân đông hiệp,thị xã dĩ an,bình dương,Không thuộc project/block,1,1450.0
"Bán Đất Cần Đước 117m, Sổ Riêng, 450TR, 2 Mặt Tiền",117.0,117.0,Đông Bắc,Đã có sổ,Nở hậu,Đất thổ cư,5.0,23.0,10.0,6.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,300.0,Đã bàn giao,70.0,"Căn hộ dịch vụ, mini",1.0,16.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường tỉnh lộ 830b,xã long cang,huyện cần đước,long an,Không thuộc project/block,1,450.0
"Bán 500m2 đất Phú Hoà Đông Củ Chi,Gía:1,5tr/m2,shr",500.0,500.0,Đông Bắc,Đã có sổ,Mặt tiền,Đất thổ cư,25.0,20.0,10.0,6.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,300.0,Đã bàn giao,70.0,"Căn hộ dịch vụ, mini",1.0,16.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,nguyễn văn kha,xã phú hòa đông,huyện củ chi,tp hồ chí minh,Không thuộc project/block,1,750.0
NHÀ 1 TRỆT 2 LẦU 71M2 2 MẶT TIỀN HẺM 701 T.X.SOẠN,,71.0,Đông Bắc,Đã có sổ,Nở hậu,Đất thổ cư,5.0,13.0,7.0,5.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,162.0,Đã bàn giao,70.0,"Căn hộ dịch vụ, mini",3.0,16.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường trần xuân soạn,phường tân hưng,quận 7,tp hồ chí minh,Không thuộc project/block,1,7300.0
"Đất Hòa Lợi gần chợ Nhật Huy,đường nhựa 7m",,136.0,Tây Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,28.0,7.0,5.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,162.0,Đã bàn giao,70.0,"Căn hộ dịch vụ, mini",3.0,16.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đx604,phường hòa lợi,thị xã bến cát,bình dương,Không thuộc project/block,1,1480.0
Nhà mặt tiền đường Phan Văn Trị đối diện Cityland,62.9,62.9,Đông Bắc,Đã có sổ,Hẻm xe hơi,Đất thổ cư,3.72,16.9,10.0,6.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,314.0,Đã bàn giao,70.0,"Căn hộ dịch vụ, mini",3.0,16.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,phan văn trị,phường 5,quận gò vấp,tp hồ chí minh,Không thuộc project/block,1,27000.0
đất bảo lộc sổ sẵn chỉ 239 triệu sở hữu ngay 125m2,125.0,125.0,Đông Bắc,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,25.0,10.0,6.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,314.0,Đã bàn giao,70.0,"Căn hộ dịch vụ, mini",3.0,16.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường d2,phường b'lao,thành phố bảo lộc,lâm đồng,Không thuộc project/block,1,239.0
Nhà giá giá sốc khu vực ngã tư kp4 Trảng Dài,70.0,70.0,Bắc,Giấy tờ khác,Nở hậu,Đất thổ cư,5.0,7.0,2.0,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,70.0,Đã bàn giao,70.0,"Căn hộ dịch vụ, mini",1.0,16.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,nguyễn thái học,phường trảng dài,thành phố biên hòa,đồng nai,Không thuộc project/block,1,690.0
Bán căn 68m2 FULL NT The Pegasuite 1,69.0,70.0,Bắc,Đang chờ sổ,Nở hậu,Đất thổ cư,5.0,7.0,2.0,2.0,"Nhà ngõ, hẻm",Nội thất cao cấp,70.0,Đã bàn giao,69.0,Chung cư,1.0,16.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường tạ quang bửu,phường 6,quận 8,tp hồ chí minh,Không thuộc project/block,1,2550.0
Còn 1 lô đất 84m2 quận Bình tân,84.0,84.0,Bắc,Đã có sổ,Nở hậu,Đất thổ cư,4.0,21.0,2.0,2.0,"Nhà ngõ, hẻm",Nội thất cao cấp,70.0,Đã bàn giao,69.0,Chung cư,1.0,16.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường số 8,phường tân tạo,quận bình tân,tp hồ chí minh,Không thuộc project/block,1,2688.0
Đất bán giá rẻ . Bán nhanh. Đất hậu hài,300.0,300.0,Bắc,Đã có sổ,Nở hậu,Đất thổ cư,5.0,65.0,2.0,2.0,"Nhà ngõ, hẻm",Nội thất cao cấp,70.0,Đã bàn giao,69.0,Chung cư,1.0,16.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường hương lộ 2,xã phước đông,huyện gò dầu,tây ninh,Không thuộc project/block,1,305.0
Giá nhiêu cũng bán: lầu 1 Becamex Hoà Lợi 60m2,60.0,300.0,Bắc,Đã có sổ,Nở hậu,Đất thổ cư,5.0,65.0,2.0,1.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,70.0,Đã bàn giao,60.0,Chung cư,1.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường d6,phường hoà phú,thành phố thủ dầu một,bình dương,A1,1,400.0
"Cần bán đất DT 120M2 giá 1,750 tỷ có sổ rồi",120.0,120.0,Bắc,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,65.0,2.0,1.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,70.0,Đã bàn giao,60.0,Chung cư,1.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường số 4,xã bình lợi,huyện bình chánh,tp hồ chí minh,A1,1,1750.0
"Nhà đẹp 4 tầng 84m2,Hẻm 8m Thoại Ngọc Hầu, Tân Phú",84.0,84.0,Bắc,Đã có sổ,Nở hậu,Đất thổ cư,4.0,21.0,4.0,5.0,"Nhà ngõ, hẻm",Nội thất cao cấp,336.0,Đã bàn giao,60.0,Chung cư,4.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường thoại ngọc hầu,phường phú thạnh,quận tân phú,tp hồ chí minh,A1,1,7200.0
NHÀ 4tỷx Đường 8m Hiệp Bình Phước Thủ Đức - SHR,64.0,64.0,Tây Bắc,Đã có sổ,Hẻm xe hơi,Đất thổ cư,4.3,15.0,4.0,5.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,174.0,Đã bàn giao,60.0,Chung cư,3.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường số 10,phường hiệp bình phước,quận thủ đức,tp hồ chí minh,A1,1,4579.0
Sở hữu nền KDC Minh Trí với lương chỉ từ 6Tr/tháng,80.0,80.0,Đông Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,5.0,16.0,4.0,5.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,174.0,Đã bàn giao,60.0,Chung cư,3.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường trần văn khéo,phường cái khế,quận ninh kiều,cần thơ,C,1,561.0
"Bán nhà đường đầu đường Nguyễn Văn Quá, hẻm xe hơi",30.0,30.0,Đông Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,3.2,9.0,3.0,3.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,90.0,Đã bàn giao,60.0,Chung cư,2.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,nguyễn văn quá,phường 12,quận gò vấp,tp hồ chí minh,C,1,1700.0
Bán nhà đg Quốc Lộ 1K - Tp.Dĩ An. DTSD 60m2,32.0,32.0,Đông,Giấy tờ khác,Hẻm xe hơi,Đất thổ cư,4.0,8.0,2.0,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,60.0,Đã bàn giao,60.0,Chung cư,2.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường quốc lộ 1k,phường bình an,thị xã dĩ an,bình dương,C,1,1150.0
Nhà đẹp cần bán kiệt ô tô hoàng văn thái,61.0,61.0,Tây Nam,Đã có sổ,Nở hậu,Đất thổ cư,4.0,8.0,3.0,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,95.0,Đã bàn giao,60.0,Chung cư,2.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường hoàng văn thái,phường hòa khánh nam,quận liên chiểu,đà nẵng,C,1,2250.0
Kẹt tiền bán gấp dãy trọ đang cho thuê,150.0,61.0,Tây Nam,Đã có sổ,Nở hậu,Đất thổ cư,4.0,8.0,4.0,4.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,95.0,Đã bàn giao,150.0,"Căn hộ dịch vụ, mini",2.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường nc,thị trấn lai uyên,huyện bàu bàng,bình dương,C,1,1550.0
"(4mx11m) 2tầng đường Lũy Bán Bích, Tân Phú 3,55 tỷ",40.0,40.0,Tây Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,4.0,11.0,2.0,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,70.0,Đã bàn giao,150.0,"Căn hộ dịch vụ, mini",2.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường lũy bán bích,phường hòa thạnh,quận tân phú,tp hồ chí minh,C,1,3550.0
Chung cư Quận Thủ Đức 56m² 2pn chuẩn bị bàn giao.,,40.0,Đông Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,4.0,11.0,2.0,1.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,70.0,Chưa bàn giao,56.0,Chung cư,2.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường quốc lộ 13,phường hiệp bình phước,quận thủ đức,tp hồ chí minh,C,1,1300.0
BÁN NHÀ ĐƯỜNG TÔ HIỆU 52m2 GIÁ CHỈ 4.5 TỶ,52.0,52.0,Đông Nam,Đã có sổ,Nở hậu,Đất thổ cư,4.0,13.0,3.0,3.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,52.0,Chưa bàn giao,56.0,Chung cư,2.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường tô hiệu,phường tân thới hòa,quận tân phú,tp hồ chí minh,C,1,4500.0
"Nhà phố cách Phạm Văn Đồng 500m,1T2L,SHR,sân ô tô",72.6,72.6,Đông Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,4.5,18.15,3.0,4.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,157.73,Chưa bàn giao,56.0,Chung cư,3.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường số 11,phường hiệp bình chánh,quận thủ đức,tp hồ chí minh,C,1,7353.0
"Phố Cổ Linh_Nhà Đẹp,Ở_KDoanh_Ôtô Tránh,Vào Nhà.",45.0,45.0,Đông Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,4.5,18.15,3.0,4.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,45.0,Chưa bàn giao,56.0,Chung cư,5.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường cổ linh,phường thạch bàn,quận long biên,hà nội,C,1,3900.0
"Chính chủ ra lô đất ngộp 1tr3/m2 tại Bến Cát,",1350.0,1350.0,Đông Nam,Đã có sổ,Mặt tiền,Đất thổ cư,30.0,45.0,3.0,4.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,45.0,Chưa bàn giao,56.0,Chung cư,5.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường đt 240,xã lai hưng,huyện bàu bàng,bình dương,C,1,1100.0
Nhà 1 lầu 1 trệt gần chợ trường học giá 795 triệu,40.0,40.0,Bắc,Giấy tờ khác,Hẻm xe hơi,Đất thổ cư,5.0,8.0,2.0,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,80.0,Chưa bàn giao,56.0,Chung cư,5.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường thân nhân trung,phường trảng dài,thành phố biên hòa,đồng nai,C,1,795.0
Đất Huyện Hóc Môn 100m² giá 350tr sổ hồng riêng,100.0,100.0,Bắc,Đã có sổ,Mặt tiền,Đất thổ cư,5.0,20.0,2.0,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,80.0,Chưa bàn giao,56.0,Chung cư,5.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường nguyễn văn bứa,xã xuân thới thượng,huyện hóc môn,tp hồ chí minh,C,1,350.0
Đất Ngộp 1051m2 (16×80) sổ riêng,1051.0,1051.0,Bắc,Đã có sổ,Mặt tiền,Đất thổ cư,16.0,80.0,2.0,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,80.0,Chưa bàn giao,56.0,Chung cư,5.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường quốc lộ 14,xã tân hưng,huyện đồng phú,bình phước,C,1,300.0
Kẹt tiền bán gấp đất MT An Phú,67.0,67.0,Bắc,Đã có sổ,Nở hậu,Đất thổ cư,4.5,15.0,2.0,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,80.0,Chưa bàn giao,56.0,Chung cư,5.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường 10,phường an phú,thị xã thuận an,bình dương,C,1,750.0
"Tôi Chính Chủ Bán Căn Nhà Tự Thiết Kế, Q. Bình Tân",64.0,64.0,Bắc,Đã có sổ,Nở hậu,Đất thổ cư,4.0,8.0,2.0,2.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,64.0,Chưa bàn giao,56.0,Chung cư,2.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,20/67 nguyễn thị tú,phường bình hưng hoà b,quận bình tân,tp hồ chí minh,C,1,1680.0
"Bán Lỗ, 110m2 Giá 162tr. SHR. Ngay KCN Bàu Xéo",110.0,110.0,Bắc,Đã có sổ,Nở hậu,Đất nông nghiệp,5.0,22.0,2.0,2.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,64.0,Chưa bàn giao,56.0,Chung cư,2.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,tây hoà,xã tây hoà,huyện trảng bom,đồng nai,C,1,162.0
Đất thành an 3 công giá 900tr,3000.0,3000.0,Bắc,Đã có sổ,Mặt tiền,Đất nông nghiệp,30.0,100.0,2.0,2.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,64.0,Chưa bàn giao,56.0,Chung cư,2.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,lộ nam hi,xã thành an,huyện mỏ cày bắc,bến tre,C,1,900.0
"Nhà chính chủ 3,3x8m 4 tầng 446// Hậu Giang P12 Q6",25.0,25.0,Bắc,Đã có sổ,Mặt tiền,Đất nông nghiệp,3.0,8.0,4.0,4.0,"Nhà ngõ, hẻm",Nội thất cao cấp,64.0,Chưa bàn giao,56.0,Chung cư,4.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường hậu giang,phường 12,quận 6,tp hồ chí minh,C,1,3300.0
Bán lô đất 5x22 mặt tiền đường Lê Lợi TPM,110.0,110.0,Bắc,Đã có sổ,Mặt tiền,Đất thổ cư,5.0,22.0,4.0,4.0,"Nhà ngõ, hẻm",Nội thất cao cấp,64.0,Chưa bàn giao,56.0,Chung cư,4.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường lê lợi,phường hoà phú,thành phố thủ dầu một,bình dương,C,1,35.0
Bán 699m2 Đất Đỗ văn Dậy Hóc Môn 200m2 thổ cư,699.0,699.0,Bắc,Đã có sổ,Mặt tiền,Đất thổ cư,5.0,22.0,4.0,4.0,"Nhà ngõ, hẻm",Nội thất cao cấp,64.0,Chưa bàn giao,56.0,Chung cư,4.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường đỗ văn dậy,xã tân hiệp,huyện hóc môn,tp hồ chí minh,C,1,8000.0
Bán Đất 53.7m2 ngõ 50 đông trung hành – đằng lâm –,54.0,54.0,Đông Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,4.0,22.0,4.0,4.0,"Nhà ngõ, hẻm",Nội thất cao cấp,64.0,Chưa bàn giao,56.0,Chung cư,4.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường trung hành 5,phường đằng lâm,quận hải an,hải phòng,C,1,21.0
Bán nhà gấp chính chủ bán,42.0,42.0,Nam,Đã có sổ,Hẻm xe hơi,Đất thổ cư,4.0,12.0,2.0,2.0,Nhà phố liền kề,Nội thất cao cấp,42.0,Chưa bàn giao,56.0,Chung cư,4.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường lê thị hà,xã tân xuân,huyện hóc môn,tp hồ chí minh,C,1,2550.0
Bán nhà 1 lầu 1 trệt. diện tích 115m2 sử dụng. chỉ,79.0,79.0,Đông,Giấy tờ khác,Hẻm xe hơi,Đất thổ cư,5.0,16.0,3.0,2.0,"Nhà ngõ, hẻm",Nội thất cao cấp,115.0,Chưa bàn giao,56.0,Chung cư,2.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường 768,phường trảng dài,thành phố biên hòa,đồng nai,C,1,890.0
LIỀN KỀ VĂN QUÁN LÔ GÓC 3 MẶT THOÁNG KD 78M4T9.5TỶ,78.0,78.0,Đông,Giấy tờ khác,Hẻm xe hơi,Đất thổ cư,5.0,16.0,5.0,5.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,78.0,Chưa bàn giao,56.0,Chung cư,2.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường nguyễn khuyến,phường văn quán,quận hà đông,hà nội,C,1,9500.0
"Cần bán 3 sào Bình Lộc, TP Long Khánh",3000.0,3000.0,Tây Bắc,Đã có sổ,Nở hậu,Đất nông nghiệp,25.0,120.0,3.0,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,160.0,Chưa bàn giao,56.0,Chung cư,2.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,cầu cháy,xã bình lộc,thành phố long khánh,đồng nai,C,1,3000.0
Đường Vũ Hữu - Bán đất tặng nhà cấp 4 - Bán gấp!!!,105.0,105.0,Tây Bắc,Đã có sổ,Nở hậu,Đất nông nghiệp,5.0,21.0,1.0,1.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,160.0,Chưa bàn giao,56.0,Chung cư,1.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường vũ hữu,phường hòa cường bắc,quận hải châu,đà nẵng,C,1,7450.0
Dự án Chung cư Astral City 45m² 1 PN,45.0,105.0,Tây Bắc,Đang chờ sổ,Nở hậu,Đất nông nghiệp,5.0,21.0,1.0,1.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,160.0,Chưa bàn giao,45.0,Chung cư,1.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,mặt tiền đường quốc lộ 13 (đại lộ bình dương),Unknown,thành phố thuận an,bình dương.,C,1,1650.0
nhà mới Phạm Thế Hiển Quận 8 DT 52m2 Giá 3 tỷ 7 TL,52.0,52.0,Tây Bắc,Đang chờ sổ,Nở hậu,Đất nông nghiệp,4.0,13.0,3.0,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,104.0,Chưa bàn giao,45.0,Chung cư,1.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường phạm thế hiển,phường 7,quận 8,tp hồ chí minh,C,1,3700.0
Nhà mặt tiền đường s7 Citylan p7 Gv 5x20 3 lầu,100.0,52.0,Tây Bắc,Đang chờ sổ,Nở hậu,Đất nông nghiệp,4.0,13.0,3.0,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,104.0,Chưa bàn giao,100.0,Chung cư,1.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,2 đường nguyễn oanh,phường 7,quận gò vấp,tp hồ chí minh,C,1,17000.0
Chung cư Sunshine City 89.6m² 3PN,89.6,52.0,Đông Bắc,Đang chờ sổ,Nở hậu,Đất nông nghiệp,4.0,13.0,3.0,2.0,"Nhà ngõ, hẻm",Nội thất cao cấp,104.0,Đã bàn giao,89.6,Chung cư,1.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,khu đô thị nam thăng long,phường phú thượng,quận tây hồ,hà nội,S4,1,4000.0
NHÀ SHR NGAY XÓM VẮNG DĨ AN CẦN 1TY,55.0,55.0,Tây Bắc,Đã có sổ,Nở hậu,Đất nông nghiệp,5.0,11.0,3.0,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,100.0,Đã bàn giao,89.6,Chung cư,1.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường lý thường kiệt,phường dĩ an,thị xã dĩ an,bình dương,S4,1,2550.0
"Vỡ Nợ,bán nhà MT Thảo Điền-Q2,60.4m2,SHR,gần Chợ",60.4,60.4,Tây Bắc,Đã có sổ,Nở hậu,Đất nông nghiệp,5.0,12.1,2.0,3.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,120.0,Đã bàn giao,89.6,Chung cư,2.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường thảo điền,phường thảo điền,quận 2,tp hồ chí minh,S4,1,1230.0
"Nhà 3 Tầng Ung Văn Khiêm-BT,72m2,SHR,gần ĐH Hutech",72.0,72.0,Tây Bắc,Đã có sổ,Nở hậu,Đất nông nghiệp,5.0,14.0,4.0,4.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,210.0,Đã bàn giao,89.6,Chung cư,3.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường ung văn khiêm,phường 25,quận bình thạnh,tp hồ chí minh,S4,1,1320.0
"Kẹt nợ,bán nhà 1T1L Đặng Văn Bi-TĐ,55m2/1tỷ240,SHR",55.0,55.0,Tây Bắc,Đã có sổ,Hẻm xe hơi,Đất nông nghiệp,5.0,11.0,2.0,3.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,110.0,Đã bàn giao,89.6,Chung cư,2.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường đặng văn bi,phường trường thọ,quận thủ đức,tp hồ chí minh,S4,1,1240.0
Đất 5x36 nhánh Đường Đặng Thanh Sử Ô Môn,180.0,180.0,Đông Nam,Đã có sổ,Hẻm xe hơi,Đất nông nghiệp,5.0,36.0,2.0,3.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,110.0,Đã bàn giao,89.6,Chung cư,2.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường đặng thanh sử,phường thới an,quận ô môn,cần thơ,S4,1,220.0
Vợ chồng cần bán lại,40.0,40.0,Đông,Đã có sổ,Nở hậu,Đất nông nghiệp,4.0,10.0,2.0,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,80.0,Đã bàn giao,89.6,Chung cư,2.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường đinh đức thiện,xã bình chánh,huyện bình chánh,tp hồ chí minh,S4,1,740.0
Nhà đường 20 phường hiêp bình chánh 1 trêt 1 lầu,21.0,21.0,Đông Bắc,Đã có sổ,Nở hậu,Đất nông nghiệp,3.0,7.0,2.0,2.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,40.0,Đã bàn giao,89.6,Chung cư,2.0,1.0,Tây Bắc,Căn góc,Mặt bằng kinh doanh,đường 20,phường hiệp bình chánh,quận thủ đức,tp hồ chí minh,S4,1,2000.0
